"citation_id","study_id","response_id","experiment","cond_name","cond_type","cond_purpose","cond_exp_units_count","cond_exp_units_count_source","cond_obs_units_count","cond_obs_units_count_source","cond_treatment_provider_exp","cond_treatment_provider_exp_detail","cond_treatment_provider_obs","cond_treatment_provider_obs_detail","cond_treatment_provider_num","cond_treatment_provider_num_source","cond_treatment_groups_exp","cond_treatment_groups_exp_detail","cond_treatment_groups_obs","cond_treatment_groups_obs_detail","cond_treatment_groups_num","cond_treatment_groups_num_source","cond_comments"
"111573506","111573506","27229","1","drug and violence resistance educational program","Treatment","10 weekly classroom lessons  conducted by trained police officers and guided by a student’s and teacher’s handbook.","14","12, Fig 1","1040","12, Fig 1","No",NA,"Yes","trained police officers gave classroom lessons","Not reported","12, Intervention","No",NA,"No",NA,NA,NA,"Students nested in classrooms not induced by treatment so not a group setting"
"111573506","111573506","27229","1","Control","Control","No intervention","14","12, Fig 1","1112","12, Fig 1","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
"111573506","111573506","27229","2","drug and violence resistance educational program","Treatment","Same as experiment 1","15","12, Fig 1","1484","12, Fig 1","No",NA,"Yes","trained police officers gave classroom lessons","Not reported","12, Intervention","No",NA,"No",NA,NA,NA,NA
"111573506","111573506","27229","2","Control","Control","Same as experiment 1","15","12, Fig 1","1392","12, Fig 1","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
"111566585","111566585","28712","1","low-carbohydrate diet","Treatment","Diet that had low carbohydrates","35","1075, Figure 1",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111566585","111566585","28712","1","Control","Control","Diet that balances protein, carbohydrates","35","1075, Figure 1",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111568461","111568461","27281","1","Teacher Professional Learning","Treatment","attend four days (spaced over twelve  months) of face-to-face professional learning","36","316, Figure 1","40","316, Figure 1","No",NA,"Yes","implementation coaches to assist in change in outcomes","2","309,  Supplementary Components","No",NA,"Yes","All teachers (between schools) attended workshop (together)?","1","308, Intervention Arm: Teacher Professional Learning",NA
"111568461","111568461","27281","1","Teaching as usual","Control","Offered a distinct workshop after the study","36","316, Figure 1","38","316, Figure 1","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
"111575914","111575914","27267","1","affect regulation  training (ART)","Treatment","Education & training to develop emotion regulation","88","2, Participants",NA,NA,"Yes","Therapist",NA,NA,"1","4, Affect Regulation Training","Yes","six weekly 3-hour ART therapy sessions in a group of 6 to 8 persons.",NA,NA,"11-15","calculated from group size",NA
"111575914","111575914","27267","1","Usual Care","Control","did not  participate in the ART program","40","2, Participants",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111571616","111571616","27309","1","Pair Programming","Treatment","Students would do lab activities within pairs","49","738,  Study Context, Procedure, and Participants","796","738,  Study Context, Procedure, and Participants","Yes","Teaching Assistant leading lab section","Yes","Teaching Assistant leading lab section","Not Reported","737,  Study Context, Procedure, and Participants","No",NA,"Yes","Students in lab section worked in multiple pairs within the lab section","three pairings per student","737,  Study Context, Procedure, and Participants",NA
"111571616","111571616","27309","1","Individual Programming","Control","Students would do lab activities individually","47","738,  Study Context, Procedure, and Participants","734","738,  Study Context, Procedure, and Participants","Yes","Teaching Assistant leading lab section","Yes","Teaching Assistant leading lab section","Not Reported","737,  Study Context, Procedure, and Participants","No",NA,"No",NA,NA,NA,NA
"111565467","111565467","27398","1","eSchool 360 model","Treatment","improve instruction through technology, training, and professional development for locally recruited teachers","30","841, Sampling (Calculated from sum across regions)","888","842, Sampling","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,"Could not identify any components of treatment that seem to involve treatment providers or group settings."
"111565467","111565467","27398","1","Control","Control","Not receiving the eSchool 360 model","33","841, Sampling","977","842, Sampling","No",NA,"No",NA,NA,NA,"No",NA,"No",NA,NA,NA,NA
"111571604","111571604","27269","1","Passport Intensive","Treatment","small group reading intervention program + typical school services","154","419,  School-Provided Supplemental Instruction",NA,NA,"Yes","certified teachers or bachelor's degree holders",NA,NA,"26","418,  Interventionists and training","Yes","daily 45-minute  sessions in small groups of two to three students",NA,NA,"51-77","Calculated from group size","Treated as partially nested in paper"
"111571604","111571604","27269","1","typical school services","Control","Alterative supplemental instruction not Passport or some other service","152","419,  School-Provided Supplemental Instruction",NA,NA,"Yes","certified  teachers other than the classroom teacher or nothing",NA,NA,"Unclear","419,  School-Provided Supplemental Instruction","Yes","Most of the school-provided interventions were  scheduled daily in sessions ranging from 21 to 40minutes in small groups ranging from two to five students.",NA,NA,"Unclear",NA,"The control is a business as usual condition that involves various conditions which some involve supplemental Instruction but some not"
"111575238","111575238","27343","1","Filming Interactions to Nurture Development (FIND) intervention","Treatment","weekly meetings with FIND coaches","88","S55,  Random Assignment and Intervention Conditions",NA,NA,"Yes","FIND coaches ( three trained therapists and two independent mental health specialists)",NA,NA,"5","S55,  FIND Intervention Implementation","No",NA,NA,NA,NA,NA,NA
"111575238","111575238","27343","1","Active Control","Control","weekly check-in phone calls/texts","50","S55,  Random Assignment and Intervention Conditions",NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA
"111568543","111568543","27377","1","The Early  Education model  with Face to face coaching","Treatment","teacher training with face to face coaching","74","5, Randomization","386","6, Table 2","Yes","Coaches gave feedback to teachers in class help implement lessons","Yes","Coaches participated in classrooms","8","6, Coach Training","No",NA,"No",NA,NA,NA,"2 coaches taught only this condition and 6 taught in both"
"111568543","111568543","27377","1","The Early  Education model  with Remote Coaching","Treatment","teacher training with online coaching","75","5, Randomization","334","6, Table 2","Yes","Coaches gave feedback to teachers after class based on recordings","No","Coaches were remote and was not around students","7","6, Coach Training","No",NA,"No",NA,NA,NA,"1 coaches taught only this condition and 6 taught in both"
